상호,분류,브랜드,위도,경도,비고
스타벅스 성수역점,카페,스타벅스,37.5449,127.0561,
메가MGC커피 성수점,카페,메가,37.5441,127.0549,
컴포즈커피 연무장점,카페,컴포즈,37.5452,127.0566,
어니언 성수,카페,개인,37.5437,127.0559,
대림창고,카페,개인,37.5432,127.0553,
카페하다 왕십리점,자사점,카페하다,37.5613,127.0380,기존점
성수역,지하철,,37.5447,127.0557,
스타벅스 강남역점,카페,스타벅스,37.4982,127.0281,
투썸플레이스 강남대로점,카페,투썸,37.4975,127.0269,
빽다방 강남역점,카페,빽다방,37.4977,127.0284,
메가MGC커피 강남점,카페,메가,37.4984,127.0271,
컴포즈커피 강남대로점,카페,컴포즈,37.4972,127.0279,
더벤티 강남역점,카페,더벤티,37.4986,127.0283,
카페하다 역삼점,자사점,카페하다,37.5006,127.0364,기존점
강남역,지하철,,37.4979,127.0276,
메가MGC커피 목동점,카페,메가,37.5268,126.8747,
파리바게뜨 목동7단지,카페,파리바게뜨,37.5257,126.8761,
개인카페 그린빈,카페,개인,37.5259,126.8744,
오목교역,지하철,,37.5241,126.8752,
스타벅스 홍대점,카페,스타벅스,37.5568,126.9241,
투썸플레이스 홍대점,카페,투썸,37.5576,126.9252,
메가MGC커피 홍대입구점,카페,메가,37.5580,126.9238,
컴포즈커피 홍대점,카페,컴포즈,37.5565,126.9249,
빽다방 홍대점,카페,빽다방,37.5574,126.9236,
감성커피 홍대,카페,감성커피,37.5569,126.9256,
홍대입구역,지하철,,37.5572,126.9237,
스타벅스 판교점,카페,스타벅스,37.4025,127.1091,
투썸플레이스 유스페이스,카페,투썸,37.4016,127.1080,
폴바셋 판교점,카페,폴바셋,37.4023,127.1078,
판교역,지하철,,37.3947,127.1112,
메가MGC커피 신림점,카페,메가,37.4846,126.9291,
컴포즈커피 신림역점,카페,컴포즈,37.4838,126.9301,
빽다방 신림점,카페,빽다방,37.4849,126.9299,
더벤티 신림점,카페,더벤티,37.4836,126.9288,
매머드커피 신림,카페,매머드,37.4844,126.9304,
신림역,지하철,,37.4842,126.9296,
