지점ID,위도,경도,도로변,시간대,인원
성수 연무장길-0,37.54311,127.05638,A,오전,3312
성수 연무장길-0,37.54311,127.05638,A,전체,18441
성수 연무장길-0,37.54311,127.05638,A,주말,3606
성수 연무장길-0,37.54311,127.05638,A,야간,1090
성수 연무장길-1,37.544736,127.055485,B,오전,1451
성수 연무장길-1,37.544736,127.055485,B,전체,7626
성수 연무장길-2,37.544038,127.057592,A,오전,3198
성수 연무장길-2,37.544038,127.057592,A,전체,18344
성수 연무장길-3,37.543805,127.054337,B,오전,1456
성수 연무장길-3,37.543805,127.054337,B,전체,8187
강남역 11번출구-0,37.499504,127.028847,A,오전,5338
강남역 11번출구-0,37.499504,127.028847,A,전체,32731
강남역 11번출구-0,37.499504,127.028847,A,주말,6999
강남역 11번출구-0,37.499504,127.028847,A,야간,5422
강남역 11번출구-1,37.496381,127.027401,B,오전,2952
강남역 11번출구-1,37.496381,127.027401,B,전체,18325
강남역 11번출구-2,37.496656,127.027024,A,오전,3539
강남역 11번출구-2,37.496656,127.027024,A,전체,20477
강남역 11번출구-3,37.498143,127.026361,B,오전,2720
강남역 11번출구-3,37.498143,127.026361,B,전체,17056
목동 7단지 상가-0,37.527005,126.874224,A,오전,1275
목동 7단지 상가-0,37.527005,126.874224,A,전체,6565
목동 7단지 상가-0,37.527005,126.874224,A,주말,1629
목동 7단지 상가-0,37.527005,126.874224,A,야간,1088
목동 7단지 상가-1,37.527441,126.87464,B,오전,1385
목동 7단지 상가-1,37.527441,126.87464,B,전체,7137
목동 7단지 상가-2,37.526318,126.873415,A,오전,789
목동 7단지 상가-2,37.526318,126.873415,A,전체,4615
목동 7단지 상가-3,37.526612,126.876758,B,오전,1471
목동 7단지 상가-3,37.526612,126.876758,B,전체,9547
홍대 어울마당로-0,37.557809,126.922824,A,오전,3749
홍대 어울마당로-0,37.557809,126.922824,A,전체,20736
홍대 어울마당로-0,37.557809,126.922824,A,주말,6403
홍대 어울마당로-0,37.557809,126.922824,A,야간,3679
홍대 어울마당로-1,37.556741,126.924053,B,오전,2250
홍대 어울마당로-1,37.556741,126.924053,B,전체,10898
홍대 어울마당로-2,37.555931,126.926319,A,오전,3780
홍대 어울마당로-2,37.555931,126.926319,A,전체,21334
홍대 어울마당로-3,37.558718,126.924517,B,오전,4392
홍대 어울마당로-3,37.558718,126.924517,B,전체,24577
판교 유스페이스-0,37.402295,127.108325,A,오전,3040
판교 유스페이스-0,37.402295,127.108325,A,전체,14106
판교 유스페이스-0,37.402295,127.108325,A,주말,3770
판교 유스페이스-0,37.402295,127.108325,A,야간,2319
판교 유스페이스-1,37.401727,127.109778,B,오전,2501
판교 유스페이스-1,37.401727,127.109778,B,전체,11993
판교 유스페이스-2,37.401473,127.107664,A,오전,2637
판교 유스페이스-2,37.401473,127.107664,A,전체,14946
판교 유스페이스-3,37.40042,127.107882,B,오전,2530
판교 유스페이스-3,37.40042,127.107882,B,전체,12209
신림 별빛거리-0,37.48324,126.929617,A,오전,3233
신림 별빛거리-0,37.48324,126.929617,A,전체,16196
신림 별빛거리-0,37.48324,126.929617,A,주말,2649
신림 별빛거리-0,37.48324,126.929617,A,야간,2281
신림 별빛거리-1,37.48512,126.931022,B,오전,3546
신림 별빛거리-1,37.48512,126.931022,B,전체,18114
신림 별빛거리-2,37.483142,126.931256,A,오전,2095
신림 별빛거리-2,37.483142,126.931256,A,전체,12619
신림 별빛거리-3,37.482821,126.930126,B,오전,3116
신림 별빛거리-3,37.482821,126.930126,B,전체,18766
카페하다 왕십리점-0,37.562869,127.0399,A,오전,1973
카페하다 왕십리점-0,37.562869,127.0399,A,전체,10907
카페하다 왕십리점-0,37.562869,127.0399,A,주말,4283
카페하다 왕십리점-0,37.562869,127.0399,A,야간,880
카페하다 왕십리점-1,37.561881,127.037241,B,오전,1570
카페하다 왕십리점-1,37.561881,127.037241,B,전체,8387
카페하다 왕십리점-2,37.562605,127.038784,A,오전,1742
카페하다 왕십리점-2,37.562605,127.038784,A,전체,9114
카페하다 왕십리점-3,37.562794,127.039394,B,오전,2076
카페하다 왕십리점-3,37.562794,127.039394,B,전체,10304
카페하다 역삼점-0,37.502001,127.036954,A,오전,3220
카페하다 역삼점-0,37.502001,127.036954,A,전체,18970
카페하다 역삼점-0,37.502001,127.036954,A,주말,4021
카페하다 역삼점-0,37.502001,127.036954,A,야간,1241
카페하다 역삼점-1,37.501696,127.036024,B,오전,4347
카페하다 역삼점-1,37.501696,127.036024,B,전체,23798
카페하다 역삼점-2,37.499269,127.037246,A,오전,5342
카페하다 역삼점-2,37.499269,127.037246,A,전체,26140
카페하다 역삼점-3,37.500002,127.035125,B,오전,2842
카페하다 역삼점-3,37.500002,127.035125,B,전체,14884
카페하다 서초점-0,37.48456,127.030388,A,오전,3866
카페하다 서초점-0,37.48456,127.030388,A,전체,17916
카페하다 서초점-0,37.48456,127.030388,A,주말,7902
카페하다 서초점-0,37.48456,127.030388,A,야간,2645
카페하다 서초점-1,37.482095,127.032739,B,오전,3164
카페하다 서초점-1,37.482095,127.032739,B,전체,14813
카페하다 서초점-2,37.48388,127.030481,A,오전,3941
카페하다 서초점-2,37.48388,127.030481,A,전체,19467
카페하다 서초점-3,37.484338,127.032521,B,오전,4441
카페하다 서초점-3,37.484338,127.032521,B,전체,24310
카페하다 잠실새내점-0,37.510082,127.086936,A,오전,3324
카페하다 잠실새내점-0,37.510082,127.086936,A,전체,15281
카페하다 잠실새내점-0,37.510082,127.086936,A,주말,7536
카페하다 잠실새내점-0,37.510082,127.086936,A,야간,1117
카페하다 잠실새내점-1,37.510742,127.084674,B,오전,2615
카페하다 잠실새내점-1,37.510742,127.084674,B,전체,12688
카페하다 잠실새내점-2,37.510821,127.087259,A,오전,2610
카페하다 잠실새내점-2,37.510821,127.087259,A,전체,14371
카페하다 잠실새내점-3,37.511921,127.087231,B,오전,2993
카페하다 잠실새내점-3,37.511921,127.087231,B,전체,16931
